AAEL013547-RA
AAEL010581-RA
AAEL020340-RD
AAEL019696-RB
AAEL007240-RE
AAEL009259-RC
AAEL004918-RB
AAEL008262-RB
AAEL003529-RB
AAEL005736-RF
AAEL018217-RB
AAEL021054-RC
AAEL013492-RA
AAEL010637-RB
AAEL001699-RD
AAEL011387-RC
AAEL004911-RB
AAEL010506-RC
AAEL001442-RB
AAEL006799-RB
AAEL011629-RC
AAEL011118-RA
AAEL000415-RC
AAEL001532-RA
AAEL026439-RA
AAEL001281-RL
AAEL008893-RA
AAEL005476-RE
AAEL020689-RI
AAEL008528-RD
AAEL019423-RD
AAEL000217-RC
AAEL009817-RA
AAEL014207-RB
AAEL022180-RJ
AAEL003992-RB
AAEL018040-RB
AAEL015095-RC
AAEL019854-RC
AAEL020841-RA
AAEL013593-RD
AAEL003063-RG
AAEL001847-RA
AAEL024236-RG
AAEL004774-RC
AAEL005526-RD
AAEL001492-RI
AAEL010018-RB
AAEL001446-RH
AAEL021054-RB
AAEL004132-RE
AAEL012960-RA
AAEL001516-RC
AAEL013466-RC
AAEL009722-RA
AAEL019980-RD
AAEL019892-RA
AAEL004913-RI
AAEL008773-RA
AAEL008471-RA
AAEL009691-RC
AAEL011787-RC
AAEL027483-RH
AAEL007952-RB
AAEL003402-RH
AAEL021227-RD
AAEL013653-RB
AAEL007656-RA
AAEL007518-RB
AAEL009756-RC
AAEL026343-RA
AAEL000703-RA
AAEL006630-RA
AAEL019711-RC
AAEL020341-RB
AAEL019876-RA
AAEL002406-RA
AAEL000281-RB
AAEL007468-RA
AAEL008514-RE
AAEL003594-RC
AAEL024209-RA
AAEL013114-RC
AAEL021475-RA
AAEL011171-RA
AAEL010432-RA
AAEL003430-RB
AAEL011818-RB
AAEL013643-RA
AAEL018290-RB
AAEL018304-RB
AAEL008177-RA
AAEL019814-RD
AAEL008167-RC
AAEL019968-RA
AAEL011289-RA
AAEL019833-RAA
AAEL013897-RA
AAEL026833-RA
AAEL005985-RA
AAEL024274-RA
AAEL021812-RA
AAEL015118-RH
AAEL005152-RF
AAEL001041-RG
AAEL027111-RC
AAEL011950-RC
AAEL006824-RA
AAEL001061-RC
